,id,type,PlanArea,Longitude,Latitude,YearBuilt,NumberOfStories,RoofShape,DWSII,BuildingType,OccupancyClass,MeanRoofHt,RoofSlope,geometry
261,,,,,,,,Flat,167,Wood,RES3,,1.05,
262,,,,,,,,Flat,167,Wood,RES3,,1.05,
263,,,,,,,,Flat,167,Wood,RES3,,1.05,
264,,,,,,,,Flat,167,Wood,RES3,,1.05,
265,,,,,,,,Flat,167,Wood,RES3,,1.05,
266,,,,,,,,Flat,167,Wood,RES3,,1.05,
267,,,,,,,,Flat,167,Wood,RES3,,1.05,
268,,,,,,,,Flat,167,Wood,RES3,,1.05,
269,,,,,,,,Flat,167,Wood,RES3,,1.05,
270,,,,,,,,Flat,167,Wood,RES3,,1.05,
271,,,,,,,,Flat,167,Wood,RES3,,1.05,
272,,,,,,,,Flat,167,Wood,RES3,,1.05,
273,,,,,,,,Flat,167,Wood,RES3,,1.05,
274,,,,,,,,Flat,167,Wood,RES3,,1.05,
275,,,,,,,,Flat,167,Wood,RES3,,1.05,
276,,,,,,,,Flat,167,Wood,RES3,,1.05,
277,,,,,,,,Flat,167,Wood,RES3,,1.05,
278,,,,,,,,Flat,167,Wood,RES3,,1.05,
279,,,,,,,,Flat,167,Wood,RES3,,1.05,
280,,,,,,,,Flat,167,Wood,RES3,,1.05,
281,,,,,,,,Flat,167,Wood,RES3,,1.05,
282,,,,,,,,Flat,167,Wood,RES3,,1.05,
283,,,,,,,,Flat,167,Wood,RES3,,1.05,
284,,,,,,,,Flat,167,Wood,RES3,,1.05,
285,,,,,,,,Flat,167,Wood,RES3,,1.05,
286,,,,,,,,Flat,167,Wood,RES3,,1.05,
287,,,,,,,,Flat,167,Wood,RES3,,1.05,
288,,,,,,,,Flat,167,Wood,RES3,,1.05,
289,,,,,,,,Flat,167,Wood,RES3,,1.05,
290,,,,,,,,Flat,167,Wood,RES3,,1.05,
291,,,,,,,,Flat,167,Wood,RES3,,1.05,
292,,,,,,,,Flat,167,Wood,RES3,,1.05,
293,,,,,,,,Flat,167,Wood,RES3,,1.05,
294,,,,,,,,Flat,167,Wood,RES3,,1.05,
